op_id_v2,cut,1st_exon,op_type_v2,exon_id,region_id,transcript_id,gene_id,exon_number,gene_type
EANN00004824|R0890|DF|T001691|1,dpar,1,DF,EANN00004824,R0890,T001691,G000221,1,lncRNA
EANN00004873|R0647|DC|T001691|2,dcom,0,DC,EANN00004873,R0647,T001691,G000221,2,lncRNA
EANN00004876|R0647|DC|T001691|3,dcom,0,DC,EANN00004876,R0647,T001691,G000221,3,lncRNA
EANN00004824|R0646|DI|T001704|1,dins,1,DI,EANN00004824,R0646,T001704,G000221,1,tucp
EANN00004824|R0889|DI|T001704|1,dins,1,DI,EANN00004824,R0889,T001704,G000221,1,tucp
EANN00004824|R0890|DF|T001704|1,dpar,1,DF,EANN00004824,R0890,T001704,G000221,1,tucp
EANN00004869|R0291|DC|T001704|2,dcom,0,DC,EANN00004869,R0291,T001704,G000221,2,tucp
EANN00004871|R0647|DC|T001704|3,dcom,0,DC,EANN00004871,R0647,T001704,G000221,3,tucp
EANN00004876|R0647|DC|T001704|4,dcom,0,DC,EANN00004876,R0647,T001704,G000221,4,tucp
EANN00004824|R0646|DI|T001707|1,dins,1,DI,EANN00004824,R0646,T001707,G000221,1,tucp
EANN00004824|R0889|DI|T001707|1,dins,1,DI,EANN00004824,R0889,T001707,G000221,1,tucp
EANN00004824|R0890|DF|T001707|1,dpar,1,DF,EANN00004824,R0890,T001707,G000221,1,tucp
EANN00004873|R0647|DC|T001707|2,dcom,0,DC,EANN00004873,R0647,T001707,G000221,2,tucp
EANN00004876|R0647|DC|T001707|3,dcom,0,DC,EANN00004876,R0647,T001707,G000221,3,tucp
EANN00004824|R0646|DI|T001708|1,dins,1,DI,EANN00004824,R0646,T001708,G000221,1,tucp
EANN00004824|R0889|DI|T001708|1,dins,1,DI,EANN00004824,R0889,T001708,G000221,1,tucp
EANN00004824|R0890|DF|T001708|1,dpar,1,DF,EANN00004824,R0890,T001708,G000221,1,tucp
EANN00004871|R0647|DC|T001708|2,dcom,0,DC,EANN00004871,R0647,T001708,G000221,2,tucp
EANN00004876|R0647|DC|T001708|3,dcom,0,DC,EANN00004876,R0647,T001708,G000221,3,tucp
EANN00004824|R0646|DI|T001709|1,dins,1,DI,EANN00004824,R0646,T001709,G000221,1,tucp
EANN00004824|R0889|DI|T001709|1,dins,1,DI,EANN00004824,R0889,T001709,G000221,1,tucp
EANN00004824|R0890|DF|T001709|1,dpar,1,DF,EANN00004824,R0890,T001709,G000221,1,tucp
EANN00004869|R0291|DC|T001709|2,dcom,0,DC,EANN00004869,R0291,T001709,G000221,2,tucp
EANN00004872|R0647|DC|T001709|3,dcom,0,DC,EANN00004872,R0647,T001709,G000221,3,tucp
EANN00004876|R0647|DC|T001709|4,dcom,0,DC,EANN00004876,R0647,T001709,G000221,4,tucp
EANN00004827|R0646|DF|T001696|1,dpar,1,DF,EANN00004827,R0646,T001696,G000221,1,tucp
EANN00004827|R0889|DI|T001696|1,dins,1,DI,EANN00004827,R0889,T001696,G000221,1,tucp
EANN00004866|R0890|DC|T001696|2,dcom,0,DC,EANN00004866,R0890,T001696,G000221,2,tucp
EANN00004869|R0291|DC|T001696|3,dcom,0,DC,EANN00004869,R0291,T001696,G000221,3,tucp
EANN00004872|R0647|DC|T001696|4,dcom,0,DC,EANN00004872,R0647,T001696,G000221,4,tucp
EANN00004876|R0647|DC|T001696|5,dcom,0,DC,EANN00004876,R0647,T001696,G000221,5,tucp
EANN00004827|R0646|DF|T001706|1,dpar,1,DF,EANN00004827,R0646,T001706,G000221,1,tucp
EANN00004827|R0889|DI|T001706|1,dins,1,DI,EANN00004827,R0889,T001706,G000221,1,tucp
EANN00004866|R0890|DC|T001706|2,dcom,0,DC,EANN00004866,R0890,T001706,G000221,2,tucp
EANN00004869|R0291|DC|T001706|3,dcom,0,DC,EANN00004869,R0291,T001706,G000221,3,tucp
EANN00004871|R0647|DC|T001706|4,dcom,0,DC,EANN00004871,R0647,T001706,G000221,4,tucp
EANN00004876|R0647|DC|T001706|5,dcom,0,DC,EANN00004876,R0647,T001706,G000221,5,tucp
EANN00004830|R0646|DP|ENST00000647831.1|5,dpar,0,DP,EANN00004830,R0646,ENST00000647831.1,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004866|R0890|DC|ENST00000647831.1|4,dcom,0,DC,EANN00004866,R0890,ENST00000647831.1,ENSG00000227372.12,4,transcribed_unitary_pseudogene
EANN00004872|R0647|DC|ENST00000647831.1|3,dcom,0,DC,EANN00004872,R0647,ENST00000647831.1,ENSG00000227372.12,3,transcribed_unitary_pseudogene
EANN00004876|R0647|DC|ENST00000647831.1|2,dcom,0,DC,EANN00004876,R0647,ENST00000647831.1,ENSG00000227372.12,2,transcribed_unitary_pseudogene
EANN00004834|R0646|DP|T001679|3,dpar,0,DP,EANN00004834,R0646,T001679,G000221,3,tucp
EANN00004866|R0890|DC|T001679|4,dcom,0,DC,EANN00004866,R0890,T001679,G000221,4,tucp
EANN00004872|R0647|DC|T001679|5,dcom,0,DC,EANN00004872,R0647,T001679,G000221,5,tucp
EANN00004876|R0647|DC|T001679|6,dcom,0,DC,EANN00004876,R0647,T001679,G000221,6,tucp
EANN00004834|R0646|DP|T001689|3,dpar,0,DP,EANN00004834,R0646,T001689,G000221,3,tucp
EANN00004866|R0890|DC|T001689|4,dcom,0,DC,EANN00004866,R0890,T001689,G000221,4,tucp
EANN00004871|R0647|DC|T001689|5,dcom,0,DC,EANN00004871,R0647,T001689,G000221,5,tucp
EANN00004876|R0647|DC|T001689|6,dcom,0,DC,EANN00004876,R0647,T001689,G000221,6,tucp
EANN00004835|R0646|DP|T001682|3,dpar,0,DP,EANN00004835,R0646,T001682,G000221,3,tucp
EANN00004835|R0889|DI|T001682|3,dins,0,DI,EANN00004835,R0889,T001682,G000221,3,tucp
EANN00004866|R0890|DC|T001682|4,dcom,0,DC,EANN00004866,R0890,T001682,G000221,4,tucp
EANN00004873|R0647|DC|T001682|5,dcom,0,DC,EANN00004873,R0647,T001682,G000221,5,tucp
EANN00004876|R0647|DC|T001682|6,dcom,0,DC,EANN00004876,R0647,T001682,G000221,6,tucp
EANN00004835|R0646|DP|T001685|3,dpar,0,DP,EANN00004835,R0646,T001685,G000221,3,tucp
EANN00004835|R0889|DI|T001685|3,dins,0,DI,EANN00004835,R0889,T001685,G000221,3,tucp
EANN00004866|R0890|DC|T001685|4,dcom,0,DC,EANN00004866,R0890,T001685,G000221,4,tucp
EANN00004872|R0647|DC|T001685|5,dcom,0,DC,EANN00004872,R0647,T001685,G000221,5,tucp
EANN00004876|R0647|DC|T001685|6,dcom,0,DC,EANN00004876,R0647,T001685,G000221,6,tucp
EANN00004835|R0646|DP|T001687|3,dpar,0,DP,EANN00004835,R0646,T001687,G000221,3,tucp
EANN00004835|R0889|DI|T001687|3,dins,0,DI,EANN00004835,R0889,T001687,G000221,3,tucp
EANN00004866|R0890|DC|T001687|4,dcom,0,DC,EANN00004866,R0890,T001687,G000221,4,tucp
EANN00004871|R0647|DC|T001687|5,dcom,0,DC,EANN00004871,R0647,T001687,G000221,5,tucp
EANN00004876|R0647|DC|T001687|6,dcom,0,DC,EANN00004876,R0647,T001687,G000221,6,tucp
EANN00004835|R0646|DP|T001694|2,dpar,0,DP,EANN00004835,R0646,T001694,G000221,2,tucp
EANN00004835|R0889|DI|T001694|2,dins,0,DI,EANN00004835,R0889,T001694,G000221,2,tucp
EANN00004866|R0890|DC|T001694|3,dcom,0,DC,EANN00004866,R0890,T001694,G000221,3,tucp
EANN00004869|R0291|DC|T001694|4,dcom,0,DC,EANN00004869,R0291,T001694,G000221,4,tucp
EANN00004872|R0647|DC|T001694|5,dcom,0,DC,EANN00004872,R0647,T001694,G000221,5,tucp
EANN00004876|R0647|DC|T001694|6,dcom,0,DC,EANN00004876,R0647,T001694,G000221,6,tucp
EANN00004835|R0646|DP|T001703|2,dpar,0,DP,EANN00004835,R0646,T001703,G000221,2,tucp
EANN00004835|R0889|DI|T001703|2,dins,0,DI,EANN00004835,R0889,T001703,G000221,2,tucp
EANN00004866|R0890|DC|T001703|3,dcom,0,DC,EANN00004866,R0890,T001703,G000221,3,tucp
EANN00004869|R0291|DC|T001703|4,dcom,0,DC,EANN00004869,R0291,T001703,G000221,4,tucp
EANN00004871|R0647|DC|T001703|5,dcom,0,DC,EANN00004871,R0647,T001703,G000221,5,tucp
EANN00004876|R0647|DC|T001703|6,dcom,0,DC,EANN00004876,R0647,T001703,G000221,6,tucp
EANN00004836|R0646|DI|T001686|3,dins,0,DI,EANN00004836,R0646,T001686,G000221,3,tucp
EANN00004836|R0889|DI|T001686|3,dins,0,DI,EANN00004836,R0889,T001686,G000221,3,tucp
EANN00004836|R0890|DP|T001686|3,dpar,0,DP,EANN00004836,R0890,T001686,G000221,3,tucp
EANN00004871|R0647|DC|T001686|4,dcom,0,DC,EANN00004871,R0647,T001686,G000221,4,tucp
EANN00004876|R0647|DC|T001686|5,dcom,0,DC,EANN00004876,R0647,T001686,G000221,5,tucp
EANN00004836|R0646|DI|T001688|3,dins,0,DI,EANN00004836,R0646,T001688,G000221,3,tucp
EANN00004836|R0889|DI|T001688|3,dins,0,DI,EANN00004836,R0889,T001688,G000221,3,tucp
EANN00004836|R0890|DP|T001688|3,dpar,0,DP,EANN00004836,R0890,T001688,G000221,3,tucp
EANN00004872|R0647|DC|T001688|4,dcom,0,DC,EANN00004872,R0647,T001688,G000221,4,tucp
EANN00004876|R0647|DC|T001688|5,dcom,0,DC,EANN00004876,R0647,T001688,G000221,5,tucp
EANN00004836|R0646|DI|T001690|2,dins,0,DI,EANN00004836,R0646,T001690,G000221,2,tucp
EANN00004836|R0889|DI|T001690|2,dins,0,DI,EANN00004836,R0889,T001690,G000221,2,tucp
EANN00004836|R0890|DP|T001690|2,dpar,0,DP,EANN00004836,R0890,T001690,G000221,2,tucp
EANN00004869|R0291|DC|T001690|3,dcom,0,DC,EANN00004869,R0291,T001690,G000221,3,tucp
EANN00004871|R0647|DC|T001690|4,dcom,0,DC,EANN00004871,R0647,T001690,G000221,4,tucp
EANN00004876|R0647|DC|T001690|5,dcom,0,DC,EANN00004876,R0647,T001690,G000221,5,tucp
EANN00004836|R0646|DI|T001692|2,dins,0,DI,EANN00004836,R0646,T001692,G000221,2,tucp
EANN00004836|R0889|DI|T001692|2,dins,0,DI,EANN00004836,R0889,T001692,G000221,2,tucp
EANN00004836|R0890|DP|T001692|2,dpar,0,DP,EANN00004836,R0890,T001692,G000221,2,tucp
EANN00004873|R0647|DC|T001692|3,dcom,0,DC,EANN00004873,R0647,T001692,G000221,3,tucp
EANN00004876|R0647|DC|T001692|4,dcom,0,DC,EANN00004876,R0647,T001692,G000221,4,tucp
EANN00004836|R0646|DI|T001695|2,dins,0,DI,EANN00004836,R0646,T001695,G000221,2,tucp
EANN00004836|R0889|DI|T001695|2,dins,0,DI,EANN00004836,R0889,T001695,G000221,2,tucp
EANN00004836|R0890|DP|T001695|2,dpar,0,DP,EANN00004836,R0890,T001695,G000221,2,tucp
EANN00004874|R0647|DC|T001695|3,dcom,0,DC,EANN00004874,R0647,T001695,G000221,3,tucp
EANN00004876|R0647|DC|T001695|4,dcom,0,DC,EANN00004876,R0647,T001695,G000221,4,tucp
EANN00004836|R0646|DI|T001700|2,dins,0,DI,EANN00004836,R0646,T001700,G000221,2,tucp
EANN00004836|R0889|DI|T001700|2,dins,0,DI,EANN00004836,R0889,T001700,G000221,2,tucp
EANN00004836|R0890|DP|T001700|2,dpar,0,DP,EANN00004836,R0890,T001700,G000221,2,tucp
EANN00004869|R0291|DC|T001700|3,dcom,0,DC,EANN00004869,R0291,T001700,G000221,3,tucp
EANN00004872|R0647|DC|T001700|4,dcom,0,DC,EANN00004872,R0647,T001700,G000221,4,tucp
EANN00004876|R0647|DC|T001700|5,dcom,0,DC,EANN00004876,R0647,T001700,G000221,5,tucp
EANN00004836|R0646|DI|T001702|2,dins,0,DI,EANN00004836,R0646,T001702,G000221,2,tucp
EANN00004836|R0889|DI|T001702|2,dins,0,DI,EANN00004836,R0889,T001702,G000221,2,tucp
EANN00004836|R0890|DP|T001702|2,dpar,0,DP,EANN00004836,R0890,T001702,G000221,2,tucp
EANN00004869|R0291|DC|T001702|3,dcom,0,DC,EANN00004869,R0291,T001702,G000221,3,tucp
EANN00004871|R0647|DC|T001702|4,dcom,0,DC,EANN00004871,R0647,T001702,G000221,4,tucp
EANN00004876|R0647|DC|T001702|5,dcom,0,DC,EANN00004876,R0647,T001702,G000221,5,tucp
EANN00004836|R0646|DI|T001710|2,dins,0,DI,EANN00004836,R0646,T001710,G000221,2,tucp
EANN00004836|R0889|DI|T001710|2,dins,0,DI,EANN00004836,R0889,T001710,G000221,2,tucp
EANN00004836|R0890|DP|T001710|2,dpar,0,DP,EANN00004836,R0890,T001710,G000221,2,tucp
EANN00004872|R0647|DC|T001710|3,dcom,0,DC,EANN00004872,R0647,T001710,G000221,3,tucp
EANN00004876|R0647|DC|T001710|4,dcom,0,DC,EANN00004876,R0647,T001710,G000221,4,tucp
EANN00004836|R0646|DI|T001712|2,dins,0,DI,EANN00004836,R0646,T001712,G000221,2,lncRNA
EANN00004836|R0889|DI|T001712|2,dins,0,DI,EANN00004836,R0889,T001712,G000221,2,lncRNA
EANN00004836|R0890|DP|T001712|2,dpar,0,DP,EANN00004836,R0890,T001712,G000221,2,lncRNA
EANN00004872|R0647|DC|T001712|3,dcom,0,DC,EANN00004872,R0647,T001712,G000221,3,lncRNA
EANN00004876|R0647|DC|T001712|4,dcom,0,DC,EANN00004876,R0647,T001712,G000221,4,lncRNA
EANN00004836|R0646|DI|T001713|2,dins,0,DI,EANN00004836,R0646,T001713,G000221,2,lncRNA
EANN00004836|R0889|DI|T001713|2,dins,0,DI,EANN00004836,R0889,T001713,G000221,2,lncRNA
EANN00004836|R0890|DP|T001713|2,dpar,0,DP,EANN00004836,R0890,T001713,G000221,2,lncRNA
EANN00004871|R0647|DC|T001713|3,dcom,0,DC,EANN00004871,R0647,T001713,G000221,3,lncRNA
EANN00004876|R0647|DC|T001713|4,dcom,0,DC,EANN00004876,R0647,T001713,G000221,4,lncRNA
EANN00004838|R0646|DP|ENST00000648600.1|5,dpar,0,DP,EANN00004838,R0646,ENST00000648600.1,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004838|R0889|DI|ENST00000648600.1|5,dins,0,DI,EANN00004838,R0889,ENST00000648600.1,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004866|R0890|DC|ENST00000648600.1|4,dcom,0,DC,EANN00004866,R0890,ENST00000648600.1,ENSG00000227372.12,4,transcribed_unitary_pseudogene
EANN00004872|R0647|DC|ENST00000648600.1|3,dcom,0,DC,EANN00004872,R0647,ENST00000648600.1,ENSG00000227372.12,3,transcribed_unitary_pseudogene
EANN00004876|R0647|DC|ENST00000648600.1|2,dcom,0,DC,EANN00004876,R0647,ENST00000648600.1,ENSG00000227372.12,2,transcribed_unitary_pseudogene
EANN00004839|R0646|DP|ENST00000423764.6|5,dpar,0,DP,EANN00004839,R0646,ENST00000423764.6,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004839|R0889|DI|ENST00000423764.6|5,dins,0,DI,EANN00004839,R0889,ENST00000423764.6,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004866|R0890|DC|ENST00000423764.6|4,dcom,0,DC,EANN00004866,R0890,ENST00000423764.6,ENSG00000227372.12,4,transcribed_unitary_pseudogene
EANN00004871|R0647|DC|ENST00000423764.6|3,dcom,0,DC,EANN00004871,R0647,ENST00000423764.6,ENSG00000227372.12,3,transcribed_unitary_pseudogene
EANN00004876|R0647|DC|ENST00000423764.6|2,dcom,0,DC,EANN00004876,R0647,ENST00000423764.6,ENSG00000227372.12,2,transcribed_unitary_pseudogene
EANN00004840|R0646|DI|ENST00000647817.1|6,dins,0,DI,EANN00004840,R0646,ENST00000647817.1,ENSG00000227372.12,6,transcribed_unitary_pseudogene
EANN00004840|R0889|DI|ENST00000647817.1|6,dins,0,DI,EANN00004840,R0889,ENST00000647817.1,ENSG00000227372.12,6,transcribed_unitary_pseudogene
EANN00004859|R0890|DP|ENST00000647817.1|5,dpar,0,DP,EANN00004859,R0890,ENST00000647817.1,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004869|R0291|DC|ENST00000647817.1|4,dcom,0,DC,EANN00004869,R0291,ENST00000647817.1,ENSG00000227372.12,4,transcribed_unitary_pseudogene
EANN00004873|R0647|DC|ENST00000647817.1|3,dcom,0,DC,EANN00004873,R0647,ENST00000647817.1,ENSG00000227372.12,3,transcribed_unitary_pseudogene
EANN00004876|R0647|DC|ENST00000647817.1|2,dcom,0,DC,EANN00004876,R0647,ENST00000647817.1,ENSG00000227372.12,2,transcribed_unitary_pseudogene
EANN00004841|R0646|DI|ENST00000649123.1|5,dins,0,DI,EANN00004841,R0646,ENST00000649123.1,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004841|R0889|DI|ENST00000649123.1|5,dins,0,DI,EANN00004841,R0889,ENST00000649123.1,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004861|R0890|DC|ENST00000649123.1|4,dcom,0,DC,EANN00004861,R0890,ENST00000649123.1,ENSG00000227372.12,4,transcribed_unitary_pseudogene
EANN00004872|R0647|DC|ENST00000649123.1|3,dcom,0,DC,EANN00004872,R0647,ENST00000649123.1,ENSG00000227372.12,3,transcribed_unitary_pseudogene
EANN00004876|R0647|DC|ENST00000649123.1|2,dcom,0,DC,EANN00004876,R0647,ENST00000649123.1,ENSG00000227372.12,2,transcribed_unitary_pseudogene
EANN00004842|R0646|DP|ENST00000648270.1|6,dpar,0,DP,EANN00004842,R0646,ENST00000648270.1,ENSG00000227372.12,6,transcribed_unitary_pseudogene
EANN00004852|R0646|DC|ENST00000648270.1|5,dcom,0,DC,EANN00004852,R0646,ENST00000648270.1,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004852|R0889|DP|ENST00000648270.1|5,dpar,0,DP,EANN00004852,R0889,ENST00000648270.1,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004866|R0890|DC|ENST00000648270.1|4,dcom,0,DC,EANN00004866,R0890,ENST00000648270.1,ENSG00000227372.12,4,transcribed_unitary_pseudogene
EANN00004871|R0647|DC|ENST00000648270.1|3,dcom,0,DC,EANN00004871,R0647,ENST00000648270.1,ENSG00000227372.12,3,transcribed_unitary_pseudogene
EANN00004876|R0647|DC|ENST00000648270.1|2,dcom,0,DC,EANN00004876,R0647,ENST00000648270.1,ENSG00000227372.12,2,transcribed_unitary_pseudogene
EANN00004843|R0646|DP|ENST00000650039.1|5,dpar,0,DP,EANN00004843,R0646,ENST00000650039.1,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004866|R0890|DC|ENST00000650039.1|4,dcom,0,DC,EANN00004866,R0890,ENST00000650039.1,ENSG00000227372.12,4,transcribed_unitary_pseudogene
EANN00004871|R0647|DC|ENST00000650039.1|3,dcom,0,DC,EANN00004871,R0647,ENST00000650039.1,ENSG00000227372.12,3,transcribed_unitary_pseudogene
EANN00004876|R0647|DC|ENST00000650039.1|2,dcom,0,DC,EANN00004876,R0647,ENST00000650039.1,ENSG00000227372.12,2,transcribed_unitary_pseudogene
EANN00004844|R0646|DP|ENST00000650037.1|6,dpar,0,DP,EANN00004844,R0646,ENST00000650037.1,ENSG00000227372.12,6,transcribed_unitary_pseudogene
EANN00004844|R0889|DI|ENST00000650037.1|6,dins,0,DI,EANN00004844,R0889,ENST00000650037.1,ENSG00000227372.12,6,transcribed_unitary_pseudogene
EANN00004866|R0890|DC|ENST00000650037.1|5,dcom,0,DC,EANN00004866,R0890,ENST00000650037.1,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004871|R0647|DC|ENST00000650037.1|4,dcom,0,DC,EANN00004871,R0647,ENST00000650037.1,ENSG00000227372.12,4,transcribed_unitary_pseudogene
EANN00004876|R0647|DC|ENST00000650037.1|3,dcom,0,DC,EANN00004876,R0647,ENST00000650037.1,ENSG00000227372.12,3,transcribed_unitary_pseudogene
EANN00004845|R0646|DC|ENST00000649468.1|6,dcom,0,DC,EANN00004845,R0646,ENST00000649468.1,ENSG00000227372.12,6,transcribed_unitary_pseudogene
EANN00004866|R0890|DC|ENST00000649468.1|5,dcom,0,DC,EANN00004866,R0890,ENST00000649468.1,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004869|R0291|DC|ENST00000649468.1|4,dcom,0,DC,EANN00004869,R0291,ENST00000649468.1,ENSG00000227372.12,4,transcribed_unitary_pseudogene
EANN00004871|R0647|DC|ENST00000649468.1|3,dcom,0,DC,EANN00004871,R0647,ENST00000649468.1,ENSG00000227372.12,3,transcribed_unitary_pseudogene
EANN00004876|R0647|DC|ENST00000649468.1|2,dcom,0,DC,EANN00004876,R0647,ENST00000649468.1,ENSG00000227372.12,2,transcribed_unitary_pseudogene
EANN00004846|R0646|DC|ENST00000648553.1|6,dcom,0,DC,EANN00004846,R0646,ENST00000648553.1,ENSG00000227372.12,6,transcribed_unitary_pseudogene
EANN00004853|R0646|DC|ENST00000648553.1|5,dcom,0,DC,EANN00004853,R0646,ENST00000648553.1,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004853|R0889|DP|ENST00000648553.1|5,dpar,0,DP,EANN00004853,R0889,ENST00000648553.1,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004858|R0890|DP|ENST00000648553.1|4,dpar,0,DP,EANN00004858,R0890,ENST00000648553.1,ENSG00000227372.12,4,transcribed_unitary_pseudogene
EANN00004871|R0647|DC|ENST00000648553.1|3,dcom,0,DC,EANN00004871,R0647,ENST00000648553.1,ENSG00000227372.12,3,transcribed_unitary_pseudogene
EANN00004876|R0647|DC|ENST00000648553.1|2,dcom,0,DC,EANN00004876,R0647,ENST00000648553.1,ENSG00000227372.12,2,transcribed_unitary_pseudogene
EANN00004847|R0646|DP|ENST00000649348.1|5,dpar,0,DP,EANN00004847,R0646,ENST00000649348.1,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004847|R0889|DI|ENST00000649348.1|5,dins,0,DI,EANN00004847,R0889,ENST00000649348.1,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004864|R0890|DC|ENST00000649348.1|4,dcom,0,DC,EANN00004864,R0890,ENST00000649348.1,ENSG00000227372.12,4,transcribed_unitary_pseudogene
EANN00004874|R0647|DC|ENST00000649348.1|3,dcom,0,DC,EANN00004874,R0647,ENST00000649348.1,ENSG00000227372.12,3,transcribed_unitary_pseudogene
EANN00004876|R0647|DC|ENST00000649348.1|2,dcom,0,DC,EANN00004876,R0647,ENST00000649348.1,ENSG00000227372.12,2,transcribed_unitary_pseudogene
